1FDL_Name,1FDL_LON,1FDL_LAT,1FDL_RA,1FDL_DEC,1FDL_Flux1000,1FDL_68Conf_Radius,1FDL_95Conf_Radius,matched_DR2,DR2_Source_Name,DR2_GLON,DR2_GLAT,DR2_CLASS1,DR2_Flux1000,DR2_ASSOC1
1FDL J2232.4+1143,77.3837149736339,-38.5583393748607,338.102766945133,11.72171211751,4.459481842868133e-08,0.017897293,0.02901908,True,4FGL J2232.6+1143,77.4384841918945,-38.5831527709961,FSRQ,4.845441736733847e-08,CTA 102
1FDL J2021.0+3651,75.2234092744563,0.115697023456509,305.268770563291,36.8552030580953,6.60277593875422e-08,0.02357296,0.038221735,True,4FGL J2021.1+3651,75.2290649414063,0.10907893627882,PSR,7.234041987658203e-08,PSR J2021+3651
1FDL J1717.7-3728,349.666680008846,0.189261510396331,259.436604249517,-37.4787828163254,1.3075893057440636e-08,0.0262736400420791,0.0426006829034868,True,4FGL J1718.0-3726,349.722320556641,0.162285387516022,snr,5.28357979590055e-09,SNR G349.7+00.2
1FDL J2254.0+1609,86.1451357784418,-38.1927097620626,343.518942526226,16.1556778677011,8.072274466768837e-08,0.0175628885,0.02847687,True,4FGL J2253.9+1609,86.118522644043,-38.1848602294922,FSRQ,8.690198427530049e-08,3C 454.3
1FDL J1351.5-6223,309.831102736945,-0.332561531990108,207.884675934015,-62.3965263791878,1.2140819432459885e-08,0.0293024582698956,0.0475116739624599,True,4FGL J1350.6-6224,309.732513427734,-0.326588183641434,PSR,6.698186449938248e-09,PSR J1350-6225
1FDL J0634.0+1746,195.151031494141,4.292297,98.5085952374282,17.7670828618518,5.125359254192165e-07,0.019168824,0.03108077,True,4FGL J0633.9+1746,195.135223388672,4.27298355102539,PSR,7.082858815010695e-07,PSR J0633+1746
1FDL J1509.3-5850,319.963592432809,-0.600594186334635,227.329140297921,-58.8359159834469,1.1953310695041849e-08,0.0265969005735086,0.0431248242395553,True,4FGL J1509.4-5850,319.975799560547,-0.616043925285339,PSR,1.7319225165124408e-08,PSR J1509-5850
1FDL J1714.2-3832,348.397938601171,0.134520616066654,258.557572367905,-38.5432359054478,1.159789893626731e-08,0.0492055810489804,0.0797830583939789,True,4FGL J1714.4-3830,348.452392578125,0.120908334851265,PSR,1.0311252296446582e-08,PSR J1714-3830
1FDL J1045.0-5940,287.59491865959,-0.621600095471215,161.268803511287,-59.6765605978232,1.4520431420579523e-08,0.0254250095778875,0.0412246893917385,True,4FGL J1045.1-5940,287.601379394531,-0.624565601348877,BIN,2.0367819431044157e-08,Eta Carinae
1FDL J0811.3+0148,220.675125054542,18.571641547567,122.849697994632,1.8085286871635,1.11689493123719e-08,0.0251708287025978,0.0408125591968254,True,4FGL J0811.4+0146,220.711380004883,18.566104888916,bll,3.7814569253669106e-09,OJ 014
1FDL J1954.3+2837,65.2552987471074,0.387907924245095,298.575599991768,28.6168645986782,1.1130634450630215e-08,0.0258021437929979,0.0418361871597428,True,4FGL J1954.3+2836,65.2475051879883,0.373181521892548,PSR,1.4950437332572623e-08,PSR J1954+2836
1FDL J0633.3+0629,205.096358272516,-1.03009101621962,98.3479829080589,6.4949426082873,1.1124452346748969e-08,0.0233517458264941,0.0378630524390416,True,4FGL J0633.7+0632,205.092742919922,-0.928446710109711,PSR,1.493675227948188e-08,PSR J0633+0632
1FDL J0428.8-3755,240.694036343663,-43.587082644943,67.2070625831072,-37.9269628894744,2.214632474757277e-08,0.0221519617496384,0.0359176985225533,True,4FGL J0428.6-3756,240.710342407227,-43.6146545410156,bll,2.36849935220107e-08,PKS 0426-380
1FDL J0240.6+6113,135.692406998457,1.09156887637818,40.1690238879679,61.2273086340828,3.508060220516283e-08,0.023745429,0.038501382,True,4FGL J0240.5+6113,135.680221557617,1.0876452922821,HMB,4.675469256198994e-08,LSI +61 303
1FDL J0822.6-4251,260.33422088623,-3.2878428,125.660466317801,-42.8604520396565,1.1072480395176664e-08,0.0698025314193056,0.113179401270678,True,4FGL J0822.1-4253e,260.309051513672,-3.37426853179932,SNR,8.844663668128305e-09,Puppis A
1FDL J0835.5-4508,263.546173095703,-2.73054,128.895552876312,-45.1378255919892,1.1058354192012615e-06,0.019906828,0.032277385,True,4FGL J0835.3-4510,263.5537109375,-2.78772664070129,PSR,1.3516935268853558e-06,PSR J0835-4510
1FDL J1747.1-3000,359.250194317004,-0.846208508316836,266.787986080991,-30.0164891613585,1.0787251196110866e-08,0.0452609675046851,0.0733871643095341,True,4FGL J1747.2-2957,359.310150146484,-0.845443725585938,PSR,1.8737138063329443e-08,PSR J1747-2958
1FDL J1732.3-3129,356.298531937777,1.06366240424544,263.078487522232,-31.4996441274623,3.206139391478349e-08,0.021549221,0.034940403,True,4FGL J1732.5-3131,356.314697265625,1.00632047653198,PSR,3.4666221893076e-08,PSR J1732-3131
1FDL J0616.9+5705,157.336964704533,18.0841334847627,94.245464696412,57.0944594253608,2.0665507734193504e-09,0.0322723359910719,0.052327106594819,True,4FGL J0617.2+5701,157.419998168945,18.0934429168701,bll,1.167211327590678e-09,87GB 061258.1+570222
1FDL J1826.3-1259,18.528723733262,-0.436799950968592,276.576592990952,-12.9939971982465,5.13267701282205e-08,0.0232375135,0.037677835,True,4FGL J1826.1-1256,18.5563468933105,-0.376634061336517,PSR,5.4473677124633475e-08,PSR J1826-1256
1FDL J1622.8-5005,333.693648595007,-0.288128168229435,245.721642628498,-50.089866748598,1.0232432678391307e-08,0.0323299970076667,0.0524206000769733,True,4FGL J1623.0-5004,333.717224121094,-0.291623950004578,PSR,9.456891270076541e-09,PSR J1623-5005
1FDL J1111.9-6036,291.021120985939,-0.0607232637995567,167.988820425025,-60.6111669481474,1.0185045183890945e-08,0.0255507683888876,0.0414285980476372,True,4FGL J1111.8-6039,291.027008056641,-0.109926760196686,PSR,8.648323834847815e-09,PSR J1111-6039
1FDL J1709.9-4425,343.161616204038,-2.68175301303311,257.476448282629,-44.4319913867692,1.5910409587779636e-07,0.019882912,0.032238605,True,4FGL J1709.7-4429,343.098785400391,-2.68665456771851,PSR,1.9928080519093785e-07,PSR J1709-4429
1FDL J0522.0+2115,183.603444839137,-8.62255360953051,80.5177111774466,21.2624159383401,9.95816376266981e-09,0.0246635039043505,0.0399899691791446,True,4FGL J0521.7+2112,183.606719970703,-8.70668792724609,bll,1.162157037271072e-08,TXS 0518+211
